Кресло (светлая кожа) 900*930*930 1013625666459;410136112015000109;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666463;410136112015000110;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (светлая кожа) 900*930*930 1013625666465;410136112015000111;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612530;70 345,00;Бюджет;69 507,56;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001288;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001291;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001282;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001294;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001284;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001290;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001297;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001300;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001292;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001293;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001296;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001287;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001283;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001295;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001301;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001298;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001299;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001286;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001289;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло (темно-коричневое)730*730*761;410136112015001285;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612692;69 964,05;Бюджет;69 131,14;1,19;1,19;84
Кресло 700*800*700 кожа, хром детали, цвет черный;410136092015000258;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612692;119 600,00;Бюджет;118 176,19;1,19;1,19;84
Кресло 700*800*700 кожа, хром детали, цвет черный;410136092015000259;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612692;119 600,00;Бюджет;118 176,19;1,19;1,19;84
Кресло 700*800*700 кожа, хром детали, цвет черный;410136092015000260;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612692;119 600,00;Бюджет;118 176,19;1,19;1,19;84
Кресло 700*800*700 кожа, хром детали, цвет черный;410136092015000261;13.11.2015;13.11.2015;Особо ценное движимое имущество;16 3612692;119 600,00;Бюджет;118 176,19;1,19;1,19;84
